ticker,year,quarter,pai_raw,pai_zscore,monsoon_flag,revenue_surprise_zscore,surprise_direction,delta_signal_raw,sector,sector_rank,forward_revenue_surprise,delta_signal,available_date,source,synthetic,revenue_surprise_yoy
BARBEQUE,2022,1,-0.100967946362655,-1.1418278494278629,False,0.0,0,-1.1418278494278629,casual_dining,0.5,0.0,-1.1418278494278629,2022-05-16,quantitative_proxy_target,True,
BARBEQUE,2022,2,0.0855890449414307,1.2907336071817184,False,0.0,0,1.2907336071817184,casual_dining,1.0,-0.7071067811865477,1.2907336071817184,2022-08-15,quantitative_proxy_target,True,
BARBEQUE,2022,3,-0.0491894491296404,,True,-0.7071067811865477,-1,,casual_dining,,-0.7071067811865476,,2022-11-15,quantitative_proxy_target,True,-0.10600690039249536
BARBEQUE,2022,4,0.006693483824948,0.2648930544811341,False,-0.7071067811865476,1,0.9719998356676816,casual_dining,1.0,0.7071067811865476,0.9719998356676816,2023-02-15,quantitative_proxy_target,True,0.2204263995891647
BARBEQUE,2023,1,-0.0021759071686018,-0.2218982657888346,False,0.7071067811865476,1,-0.9290050469753822,casual_dining,0.5,0.7071067811865459,-0.9290050469753822,2023-05-16,quantitative_proxy_target,True,0.23356076844368553
BARBEQUE,2023,2,0.0283419350608964,0.9919018624482882,False,0.7071067811865459,-1,0.2847950812617422,casual_dining,0.5,0.7071067811865476,0.2847950812617422,2023-08-15,quantitative_proxy_target,True,-0.03491493320600341
BARBEQUE,2023,3,0.1215802113944458,,True,0.7071067811865476,-1,,casual_dining,,-0.7071067811865476,,2023-11-15,quantitative_proxy_target,True,-0.010436874624880924
BARBEQUE,2023,4,0.0292740349741021,-0.2795975488843722,False,-0.7071067811865476,1,0.4275092323021753,casual_dining,1.0,-0.7071067811865477,0.4275092323021753,2024-02-15,quantitative_proxy_target,True,0.21271746034315767
BARBEQUE,2024,1,-0.0760340091208294,-1.2609573956667848,False,-0.7071067811865477,1,-0.5538506144802371,casual_dining,0.5,0.707106781186546,-0.5538506144802371,2024-05-16,quantitative_proxy_target,True,0.1473305796955064
BARBEQUE,2024,2,0.063965379538277,0.3523902510953889,False,0.707106781186546,-1,-0.354716530091157,casual_dining,0.5,0.7071067811865475,-0.354716530091157,2024-08-15,quantitative_proxy_target,True,-0.08766316644107898
BARBEQUE,2024,3,-0.0124933678008904,,True,0.7071067811865475,-1,,casual_dining,,0.7071067811865476,,2024-11-15,quantitative_proxy_target,True,-0.009240371541621342
BARBEQUE,2024,4,-0.0355011761251355,-0.3481401371364851,False,0.7071067811865476,1,-1.0552469183230326,casual_dining,0.5,,-1.0552469183230326,2025-02-15,quantitative_proxy_target,True,0.2848654397857156
METRO,2022,1,-0.0313790018597053,-0.4677012040714313,False,0.0,0,-0.4677012040714313,footwear,1.0,0.0,-0.4677012040714313,2022-05-16,quantitative_proxy_target,True,
METRO,2022,2,-0.0115180873573729,0.2452216954376443,False,0.0,0,0.2452216954376443,footwear,0.5,0.7071067811865476,0.2452216954376443,2022-08-15,quantitative_proxy_target,True,
METRO,2022,3,0.0542091649581732,,True,0.7071067811865476,-1,,footwear,,0.7071067811865476,,2022-11-15,quantitative_proxy_target,True,-0.004428685201175649
METRO,2022,4,0.0012287392324774,-0.0520927225442271,False,0.7071067811865476,1,-0.7591995037307747,footwear,0.5,-0.7071067811865476,-0.7591995037307747,2023-02-15,quantitative_proxy_target,True,0.2376671045341764
METRO,2023,1,0.0133589639830025,-0.033749303443955,False,-0.7071067811865476,1,0.6733574777425925,footwear,1.0,-0.7071067811865492,0.6733574777425925,2023-05-16,quantitative_proxy_target,True,0.18881423852934404
METRO,2023,2,0.0489099421500528,0.7458575258666277,False,-0.7071067811865492,-1,1.4529643070531768,footwear,1.0,-0.7071067811865476,1.4529643070531768,2023-08-15,quantitative_proxy_target,True,-0.03821583862369464
METRO,2023,3,-0.0019822376922523,,True,-0.7071067811865476,-1,,footwear,,0.7071067811865476,,2023-11-15,quantitative_proxy_target,True,-0.042994803991523035
METRO,2023,4,-0.0173449495216143,-0.989821208594461,False,0.7071067811865476,1,-1.6969279897810086,footwear,0.5,0.7071067811865472,-1.6969279897810086,2024-02-15,quantitative_proxy_target,True,0.2497761459444828
METRO,2024,1,0.0560873256134288,0.948534492498282,False,0.7071067811865472,1,0.2414277113117346,footwear,1.0,-0.7071067811865492,0.2414277113117346,2024-05-16,quantitative_proxy_target,True,0.26958861882994684
METRO,2024,2,-0.0201468746454309,-0.6839055005130154,False,-0.7071067811865492,-1,0.0232012806735338,footwear,1.0,-0.7071067811865475,0.0232012806735338,2024-08-15,quantitative_proxy_target,True,-0.09455656031021614
METRO,2024,3,-0.0136630828560583,,True,-0.7071067811865475,-1,,footwear,,-0.7071067811865476,,2024-11-15,quantitative_proxy_target,True,-0.05781084424410997
METRO,2024,4,0.0033100860436966,-0.0892857974570628,False,-0.7071067811865476,1,0.6178209837294847,footwear,1.0,,0.6178209837294847,2025-02-15,quantitative_proxy_target,True,0.2623049720450618
